RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO,MOVIL,FIJO,CORREO,WEB,RUC,DIRECCION
COOPERATIVA AGROINDUSTRIAL UCHIZA LTDA.,SAN MARTIN,TOCACHE,UCHIZA,COOPERATIVAS AGROINDUSTRIALES,961644850,,CAUUCHIZA@GMAIL.COM,,20450207544,AVENIDA LEONCIO PRADO 986 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA INDUSTRIAL PROGRESO LTDA.,SAN MARTIN,TOCACHE,NUEVO PROGRESO,COOPERATIVAS AGROINDUSTRIALES,978287888,062-632342,EDUEDU22@HOTMAIL.COM,,20450306445,JIRÓN SARGENTO LORES SN Interior  Piso 1 Mza 29 Lote 7 Km
COOPERATIVA AGROINDUSTRIAL CORDILLERA AZUL NUEVO PROGRESO LTDA.,SAN MARTIN,TOCACHE,NUEVO PROGRESO,COOPERATIVAS AGROINDUSTRIALES,998048063,,COOPCORDILLERAAZUL@HOTMAIL.COM,,20572145388,JIRÓN HUAYAGA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CENTRAL DE CACAO AROMA DE TOCA,SAN MARTIN,TOCACHE,TOCACHE,COOPERATIVAS AGRARIAS,962991186,042-551536,ADM.CACAODEAROMA@GMAIL.COM,WWW.CACAODEAROMA.COM,20572190251,JIRÓN TOCACHE 717 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL ASPROC - NBT LTDA,SAN MARTIN,TOCACHE,TOCACHE,COOPERATIVAS AGROINDUSTRIALES,943935667,042-793751,ASPROCNBT@YAHOO.ES,,20450246442,AVENIDA SANTA ROSA 606 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ALLIMA CACAO LTDA.,SAN MARTIN,SAN MARTIN,CHAZUTA,COOPERATIVAS AGRARIAS,945679222,,ALLIMACACAO@GMAIL.COM,,20531441797,PASAJE JOSE OLAYA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL CAUCHERA CAYNARACHI LTDA.,SAN MARTIN,LAMAS,CAYNARACHI,COOPERATIVAS AGROINDUSTRIALES,944830964,,COOPERATIVACAYNARACHI@ZOHO.COM,WWW.AMAZONRUBBER.COM,20600764749,JIRÓN RICARDO PALMA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL DEL PALMITO APROPAL LTDA.,SAN MARTIN,LAMAS,CAYNARACHI,COOPERATIVAS AGROINDUSTRIALES,968299503,,GERENCIA.APROPAL@GMAIL.COM,,20450105113,AVENIDA LA MARGINAL 177 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA NUEVO AMANECER LTDA.,SAN MARTIN,LAMAS,BARRANQUITA,COOPERATIVAS AGRARIAS,956037139,,COPANA.BARRANQUITA@GMAIL.COM,,20493934822,JIRÓN SAN MARTIN SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA MUSHUK RUNA LTDA.,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,COOPERATIVAS AGRARIAS,947006014,,CA.MUSHUKRUNA@GMAIL.COM,,20542364174,JIRÓN 20 DE MAYO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA DE APICULTORES DE LA PROVINCIA DEL DORADO LTDA.,SAN MARTIN,EL DORADO,SAN JOSE DE SISA,COOPERATIVAS AGRARIAS,990822831,,COOPERATIVADELDORADO@HOTMAIL.COM,,20542367190,JIRÓN NEREO CABELLO 667 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA Y DE SERVICIOS BALSAYACU LTDA.,SAN MARTIN,MARISCAL CACERES,CAMPANILLA,COOPERATIVAS AGRARIAS,945977694,,COPASERVA@HOTMAIL.COM,,20600402782,JIRÓN SAN IGNACIO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SAPOSOA LTDA.,SAN MARTIN,HUALLAGA,SAPOSOA,COOPERATIVAS AGRARIAS,944895514,,,,20600628896,JIRÓN CHORRILLOS (PROLONGACION) SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MUJERES TECNOLOGAS CACAOTERAS DE LA PROVINCIA DE HUALLAGA LTDA.,SAN MARTIN,HUALLAGA,SAPOSOA,COOPERATIVAS AGRARIAS,951583827,,WARMITECH@HOTMAIL.COM,,20493959574,JIRÓN LORETO 385 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA EL GRAN SAPOSOA LTDA.,SAN MARTIN,HUALLAGA,SAPOSOA,COOPERATIVAS AGRARIAS,996803708,042-547091,COOPALGSA@GMAIL.COM,,20450398111,JIRÓN SAPOSOA 201 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DEL BAJO BIAVO LTDA.,SAN MARTIN,BELLAVISTA,BELLAVISTA,COOPERATIVAS AGRARIAS,979854946,042-505422,COOPBAJOBIAVO@LIVE.COM,,20542264544,JIRÓN HUANUCO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROPECUARIA Y SERVICIOS PORKINS JUANJUI LTDA.,SAN MARTIN,MARISCAL CACERES,JUANJUI,COOPERATIVAS AGROPECUARIAS,942876800,,,,20542335239,JIRÓN ISAAC NEWTON 362 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,SAN MARTIN,MARISCAL CACERES,JUANJUI,COOPERATIVAS AGRARIAS,942695767,042-545190,ACOPAGRO@ACOPAGRO.COM.PE,WWW.ACOPAGRO.COM.PE,20404057805,JIRÓN ARICA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CACAOTERA ALTO HUAYABAMBA LTDA.,SAN MARTIN,MARISCAL CACERES,JUANJUI,COOPERATIVAS AGRARIAS,954939708,042-545815,COOPERATIVAALHUA@GMAIL.COM,WWW.COOPALHUA.COM,20542310911,JIRÓN MALECON SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA APAHUI LTDA. - COOP APAHUI LTDA.,SAN MARTIN,MARISCAL CACERES,HUICUNGO,COOPERATIVAS AGRARIAS,949044518,,ASOCIACION.APAHUI@HOTMAIL.COM,WWW.APAHUI.GOB.PE,20531396805,JIRÓN HUAYNA CAPAC SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL ACEPROC-POLVORA,SAN MARTIN,TOCACHE,POLVORA,COOPERATIVAS AGROINDUSTRIALES,956823350,,,,20542251566,JIRÓN LOS CEDROS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL CPCACAO TOCACHE LTDA,SAN MARTIN,TOCACHE,POLVORA,COOPERATIVAS AGROINDUSTRIALES,928909324,,CPCACAOTOCACHE@HOTMAIL.COM,,20450437892,CARRETERA FERNANDO BELAUNDE TERRY SN Interior 0 Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ACEPAT,SAN MARTIN,TOCACHE,TOCACHE,COOPERATIVAS AGRARIAS,935710575,,,,20404175913,OTRO VILLA PALMA SN Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA TOCACHE LTDA.,SAN MARTIN,TOCACHE,TOCACHE,COOPERATIVAS AGRARIAS CAFETALERAS,980608962,,CACTOCACHE@HOTMAIL.COM,,20493931726,AVENIDA 10 AGOSTO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE CACAOTEROS TECNIFICADOS DE PADRE ABAD,UCAYALI,PADRE ABAD,IRAZOLA,COOPERATIVAS AGRARIAS,987266691,,COOPACATPA@GMAIL.COM,,20352417018,JIRÓN ARICA SN Interior  Piso 1 Mza Ñ Lote 10 Km
COOPERATIVA AGRARIA INDUSTRIAL MONTE ALEGRE - REGION UCAYALI (CAIMARU),UCAYALI,PADRE ABAD,NESHUYA,COOPERATIVAS AGROINDUSTRIALES,942123883,,CAIMARU2016@GMAIL.COM,,20601067146,JIRÓN LOLO FERNANDEZ SN Interior  Piso 1 Mza 18 Lote 15 Km
COOPERATIVA QALI MIJUY,CUSCO,CALCA,CALCA,COOPERATIVAS AGRARIAS,997482339,,QALIMIJUY@GMAIL.COM,WWW.QALIMIJUY.COM,20601320003,OTRO INGRESO A LA COMUNIDAD DE SACLLO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS JOSE ZUÑIGA LETONA DE HUARAN LTDA. Nº 001-B-VII,CUSCO,CALCA,CALCA,COOPERATIVAS AGRARIAS,928121597,,,,20136345487,OTRO ENTRADA A HUARAN SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS LOS INCAS. Nº 58 VII,CUSCO,CALCA,CALCA,COOPERATIVAS AGRARIAS,974343340,,,,20116311420,CALLE MATEO PUMACAHUA (PROLONGACION) SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL VALLE SAGRADO LTDA. - AGROVAS,CUSCO,CALCA,CALCA,COOPERATIVAS AGROINDUSTRIALES,974782663,084224772,AGROVAS.CUSCO@GMAIL.COM,WWW.AGROVAS.COM,20491050960,CARRETERA CALCA URUBAMBA SN Interior  Piso 1 Mza  Lote  Km 55
COOPERATIVA AGRARIA DE PRODUCCION ORGANICA SEÑOR DE HUANCA SAN SALVADOR - CAPOSH,CUSCO,CALCA,SAN SALVADOR,COOPERATIVAS AGRARIAS,940187983,,CAPOSHSS@GMAIL.COM,,20601360145,CALLE CUSCO 163 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE PRODUCCION ORGANICA PACHAMAMAQ RURUYNIN,CUSCO,ANTA,ZURITE,COOPERATIVAS AGRARIAS,973201978,,PACHAMAMAQRURUYNIN@GMAIL.COM,WWW.PACHAMAMAQRURUYNIN.COM,20601319650,CARRETERA CUSCO-ABANCAY SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DEL CUSCO IMILLAY LTDA.- CAC IMILLAY LTDA.,CUSCO,ANTA,HUAROCONDO,COOPERATIVAS AGRARIAS,940812318,,,,20600819187,CALLE TOMAS HUILLCA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA MANCO II LTDA. N° 11,CUSCO,LA CONVENCION,MARANURA,COOPERATIVAS AGRARIAS CAFETALERAS,946762270,,,,20140282007,CARRETERA CHAULLAY VILCABAMBA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS LOS LIBERTADORES HUYRO LTDA. N° 33,CUSCO,LA CONVENCION,HUAYOPATA,COOPERATIVAS AGRARIAS,974250311,,,,20132494666,CARRETERA HUYRO QUILLABAMBA SN Interior  Piso 1 Mza  Lote  Km 2
COOPERATIVA AGRARIA DE AGRICULTORES HUYRO,CUSCO,LA CONVENCION,HUAYOPATA,COOPERATIVAS AGRARIAS,944404104,,CAAH-IPAL@GMAIL.COM,WWW.CAAH-IPAL.COM.PE,20600161378,CARRETERA SICRE A IPAL PIRHUA ALTO SN Interior  Piso 1 Mza  Lote  Km 5
COOPERATIVA AGRARIA CAFETALERA MARANURA LTDA. N° 129,CUSCO,LA CONVENCION,MARANURA,COOPERATIVAS AGRARIAS CAFETALERAS,961500408,084-435330,CACMARANURA@HOTMAIL.COM,WWW.CACMARANURA.COM,20132509876,AVENIDA EDGAR DE LA TORRE SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA HUAYOPATA LTDA. N° 110,CUSCO,LA CONVENCION,HUAYOPATA,COOPERATIVAS AGRARIAS CAFETALERAS,983793012,,,,20132490245,CARRETERA CUSCO QUILLABAMBA SN Interior  Piso 1 Mza  Lote  Km 30
COOPERATIVA AGRARIA DE PRODUCTORES TEALEROS NUEVA ESPERANZA TE HUYRO AMAYBAMBA,CUSCO,LA CONVENCION,HUAYOPATA,COOPERATIVAS AGRARIAS,954735242,,,,20600610024,CARRETERA CUSCO QUILLABAMBA SN Interior  Piso 1 Mza  Lote  Km 102
COOPERATIVA AGRARIA CAFETALERA ALTO URUBAMBA LTDA. N° 239,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,982606445,084-281026,FRANSO-19@HOTMAIL.COM,WWW.CACALTOURUBAMBA.COM,20136201132,AVENIDA NICANOR LARREA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRICOLA GANADERA ALTO SALKANTAY LTDA. N° 016-VII,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS,939024895,,,,20134461561,CARRETERA SANTA TERESA - TOTORA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA TIOBAMBA,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,968140737,,,,20140274756,JIRÓN LIBERTAD 325 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA TROPICAL ECOLOGICA DE KIMBIRI,CUSCO,LA CONVENCION,KIMBIRI,COOPERATIVAS AGRARIAS,966687806,,CATEK_VRAEM@HOTMAIL.COM,,20534524774,AVENIDA AEROPUERTO 312 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA SANTA ANA LTDA. Nº 232,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,984044806,,,,20132526703,AVENIDA SAN MARTIN 666 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA MACHUPICCHU LTDA. - C.A.C. MACHUPICCHU LTDA.,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,988003328,,CACMACHUPICCHU.LTDA@ GMAIL.COM,,20564199266,AVENIDA MARISCAL GAMARRA 281 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA JOSE OLAYA LTDA. Nº 252,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,983606079,084-282638,252CACJOSEOLAYA@GMAIL.COM,WWW.CACJOSEOLAYA.COM,20132509795,AVENIDA EDGAR DE LA TORRE 232 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA CHACO HUAYANAY L,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,984326879,084-281571,CACCHACOHUAYANAY@HOTMAIL.COM,,20132491217,AVENIDA SAN MARTIN 247 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA MATEO PUMACAHUA LTDA. Nº 185,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,978563749,084-281110,CACMATEOPUMACAHUA@HOTMAIL.COM,,20132517119,JIRÓN LIBERTAD 631 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA AGUILAYOC  LTDA. Nº 084,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,979514195,084-282566,CACAGUILAYOC@GMAIL.COM,,20132505455,JIRÓN OLLANTA 130 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.,CUSCO,LA CONVENCION,SANTA ANA,COOPERATIVAS AGRARIAS CAFETALERAS,984950408,084-311143,CCOCHAPAMPA@HOTMAIL.COM,,20140292657,AVENIDA EDGAR DE LA TORRE 350 Interior  Piso 1 Mza  Lote  Km 10
COOPERATIVA AGRARIA CAFETALERA CHAUPIMAYO LTDA.,CUSCO,LA CONVENCION,SANTA TERESA,COOPERATIVAS AGRARIAS CAFETALERAS,992738362,,,,20132489158,CARRETERA CHAULLAY TABLADA CHAUPIMAYO SN Interior  Piso 1 Mza  Lote  Km 8
COOPERATIVA AGRARIA CAFETALERA HUADQUIÑA LTDA. N° 109,CUSCO,LA CONVENCION,SANTA TERESA,COOPERATIVAS AGRARIAS CAFETALERAS,984840989,,HUADQUINA@HOTMAAIL.COM,WWW.CAC-HUADQUINA.COM,20132497410,CARRETERA SANTA TERESA HUADQUIÑA SN Interior  Piso 1 Mza  Lote  Km 2
COOPERATIVA AGRARIA CAFETALERA SAN FERNANDO LTDA.,CUSCO,LA CONVENCION,VILCABAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,984600083,,SANFERNANDOLTDA@OUTLOOK.COM,,20527181047,CARRETERA INKAWASI  ANDAHUAYLAS SN Interior  Piso 1 Mza  Lote  Km 10
COOPERATIVA AGRARIA CAFETALERA MANCO INCA LTDA.,CUSCO,LA CONVENCION,VILCABAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,995521687,,,,20187587337,CARRETERA CHAULLAY OYARA VILCABAMBA SN Interior  Piso 1 Mza  Lote  Km 32
COOPERATIVA AGRARIA CAFETALERA JOSE CARLOS MARIATEGUI LTDA. N° 036-VII,CUSCO,LA CONVENCION,OCOBAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,951668146,,,,20177421163,CARRETERA QUILLABAMBA SAN LORENZO OCCOBAMBA SN Interior  Piso 1 Mza  Lote  Km 8
COOPERATIVA AGRARIA CAFETALERA TIRIJUAY PAVAYOC LTDA. N° 013-B-VII,CUSCO,LA CONVENCION,OCOBAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,968571500,,,,20147443120,CARRETERA TIRIJUAY PAUCARTAMBUYOC SN Interior  Piso 1 Mza  Lote  Km 10
COOPERATIVA AGRARIA ALPAQUERA DEL SUR LIMITADA - COOPAALSUR LTDA - COOPAALSUR LTDA,CUSCO,QUISPICANCHI,MARCAPATA,COOPERATIVAS AGROPECUARIAS,974368462,,,,20601427541,CARRETERA A QUINCEMIL SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CACAOTERA DE MADRE DE DIOS LTDA.. - COOPACMDD,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,COOPERATIVAS AGRARIAS,956686971,,,,20563837439,JIRÓN TACNA SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROINDUSTRIAL DE LA INTER OCEANICA LTDA.,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,COOPERATIVAS AGROINDUSTRIALES,963733558,,COOPAIDI@GMAIL.COM,,20600874919,AVENIDA JORGE CHAVEZ SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROBOSQUE,MADRE DE DIOS,TAMBOPATA,INAMBARI,COOPERATIVAS AGRARIAS,986817984,082-633425,COOPERATIVAGROBOSQUE@GMAIL.COM,,20542825163,CARRETERA INTEROCEANICA SN Interior  Piso 1 Mza  Lote  Km 129
COOPERATIVA AGRARIA DE USUARIOS CRISTO SALVADOR DE URCO LTDA. N° 50 VII,CUSCO,CALCA,CALCA,COOPERATIVAS AGRARIAS,969475648,084-797462,,,20187597642,CARRETERA CALCA URUBAMBA SN Interior  Piso 1 Mza  Lote  Km 54
COOPERATIVA AGRARIA QHAPAQ QOLLA-PUNO,PUNO,PUNO,PUNO,COOPERATIVAS AGRARIAS,951902873,051-367208,GEDUES@YAHOO.ES,,20601056551,JIRÓN CORONEL MIGUEL RIOS 244 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA E INDUSTRIAL KAPAC TIKA-CAPACHICA LTDA.,PUNO,PUNO,CAPACHICA,COOPERATIVAS AGROINDUSTRIALES,950937381,,COOPAINKAT_CAPACHICA@YAHOO.ES,,20600296206,JIRÓN JULIACA 235 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA MAIKU MARKA-ACORA,PUNO,PUNO,ACORA,COOPERATIVAS AGRARIAS,979440926,,MAIKUMARKA@GMAIL.COM,,20600483073,CARRETERA PUNO ILAVE SN Interior  Piso 1 Mza  Lote  Km
COOPAIL JULI LTDA.,PUNO,CHUCUITO,JULI,COOPERATIVAS AGRARIAS,996622053,051-554168,RAULINBO_V15@HOTMAIL.COM,,20600570111,JIRÓN ILAVE 991 Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGRARIA SAN PEDRO DE HUACULLANI,PUNO,CHUCUITO,HUACULLANI,COOPERATIVAS AGRARIAS,958383788,,,,20600678788,CARRETERA BINACIONAL SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE USUARIOS SAN JOSE LTDA. MALA,LIMA,CAÑETE,MALA,COOPERATIVAS AGRARIAS,996756990,,,,20120266251,OTRO LAS CASUARINAS SN Interior  Piso 1 Mza A Lote 13 Km
COOPERATIVA AGRARIA CAFETALERA SATIPO LTDA.,JUNIN,SATIPO,SATIPO,COOPERATIVAS AGRARIAS CAFETALERAS,990223331,064-545030,SATIPOCACSATIPO@SATIPO.ORG,WWW.CACSATIPO.ORG,20129529530,JIRÓN MANUEL PRADO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROPECUARIO CAFETALERA SELVA ALEGRE,JUNIN,SATIPO,LLAYLLA,COOPERATIVAS AGROPECUARIAS,989231446,,,,20600444213,CARRETERA PRINCIPAL SN Interior  Piso 1 Mza  Lote  Km
COOPACI DE LLAYLLA,JUNIN,SATIPO,LLAYLLA,COOPERATIVAS AGRARIAS CAFETALERAS,974662769,,,,20601198321,CARRETERA PRINCIPAL SN Interior  Piso 2 Mza A Lote 14 Km
COOPERATIVA AGRARIA CAFETALERA PANGOA LTDA.,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS CAFETALERAS,964557160,064-543017,CACPANGOA@CACPANGOA.COM,WWW.CACPANGOA.COM,20135240681,AVENIDA LOS CAFETALEROS 600 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA MULTISERVICIOS KAJIRIALI LTDA.,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS CAFETALERAS,999519908,,,,20601103428,PASAJE LOS COCOS SN Interior  Piso 1 Mza F Lote 10 Km
COOPERATIVA AGRARIA COYENTIMARI LTDA.,JUNIN,SATIPO,PANGOA,COOPERATIVAS AGRARIAS,995518877,,,,20601156858,AVENIDA LOS PINOS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA MUJER ANDINA,JUNIN,CONCEPCION,SAN JOSE DE QUERO,COOPERATIVAS AGRARIAS,979764799,064-652163,,,20568804709,OTRO PLAZA PRINCIPAL 106 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGROPECUARIA DE SERVICIOS VALLE DEL CUNAS LTDA.,JUNIN,CONCEPCION,SAN JOSE DE QUERO,COOPERATIVAS AGROPECUARIAS,956055951,,CASVALLEDELCUNAS@YAHOO.ES,WWW.BIOCUNAS.COM,20486049198,PASAJE CAS CUNAS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA VALLE INCARIADO,JUNIN,CHANCHAMAYO,CHANCHAMAYO,COOPERATIVAS AGRARIAS CAFETALERAS,951496903,,TINTOCAFEEPICAFE@GMAIL.COM,WWW.TINTOCAFEEPICAFE.WIXSITE.COM,20573845901,JIRÓN ANTONIO DE SUCRE 399 Interior 1 Piso 1 Mza D Lote 9 Km
COOPERATIVA AGROPECUARIA WARMI CUNAPA,JUNIN,CHANCHAMAYO,CHANCHAMAYO,COOPERATIVAS AGROPECUARIAS,990432734,064-335283,CCAISAHUANA@COOPERENE.COM,,20573896565,AVENIDA PERU 545 Interior 1 Piso 2 Mza  Lote  Km
