EMAIL,RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA
agrovas.cusco@gmail.com,COOPERATIVA AGROINDUSTRIAL VALLE SAGRADO LTDA. - AGROVAS,CUSCO,CALCA
caposhss@gmail.com,COOPERATIVA AGRARIA DE PRODUCCION ORGANICA SEÑOR DE HUANCA SAN SALVADOR - CAPOSH,CUSCO,CALCA
pachamamaqruruynin@gmail.com,COOPERATIVA AGRARIA DE PRODUCCION ORGANICA PACHAMAMAQ RURUYNIN,CUSCO,ANTA
caah-ipal@gmail.com,COOPERATIVA AGRARIA DE AGRICULTORES HUYRO,CUSCO,LA CONVENCION
cacmaranura@hotmail.com,COOPERATIVA AGRARIA CAFETALERA MARANURA LTDA. N° 129,CUSCO,LA CONVENCION
franso-19@hotmail.com,COOPERATIVA AGRARIA CAFETALERA ALTO URUBAMBA LTDA. N° 239,CUSCO,LA CONVENCION
catek_vraem@hotmail.com,COOPERATIVA AGRARIA TROPICAL ECOLOGICA DE KIMBIRI,CUSCO,LA CONVENCION
252cacjoseolaya@gmail.com,COOPERATIVA AGRARIA CAFETALERA JOSE OLAYA LTDA. Nº 252,CUSCO,LA CONVENCION
cacchacohuayanay@hotmail.com,COOPERATIVA AGRARIA CAFETALERA CHACO HUAYANAY L,CUSCO,LA CONVENCION
cacmateopumacahua@hotmail.com,COOPERATIVA AGRARIA CAFETALERA MATEO PUMACAHUA LTDA. Nº 185,CUSCO,LA CONVENCION
cacaguilayoc@gmail.com,COOPERATIVA AGRARIA CAFETALERA AGUILAYOC  LTDA. Nº 084,CUSCO,LA CONVENCION
ccochapampa@hotmail.com,COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.,CUSCO,LA CONVENCION
sanfernandoltda@outlook.com,COOPERATIVA AGRARIA CAFETALERA SAN FERNANDO LTDA.,CUSCO,LA CONVENCION
cooperativaagrarialamorada@gmail.com,COOPERATIVA AGRARIA LA MORADA LTDA. N° 148,HUANUCO,LEONCIO PRADO
dcaldascamacho@gmail.com,COOPERATIVA AGRARIA BELLA DURMIENTE LTDA.,HUANUCO,LEONCIO PRADO
coopacpi@hotmail.com,COOPERATIVA AGRARIA CACAOTERA PUERTO INCA,HUANUCO,PUERTO INCA
cau.ventaalta@outlook.com,COOPERATIVA AGRARIA DE USUARIOS LA VENTA-A,ICA,ICA
cauatalaya@hotmail.com,COOPERATIVA AGRARIA DE USUARIOS ATALAYA LTDA.,ICA,ICA
cofipe.p@gmail.com,COOPERATIVA AGRARIA DE SERVICIOS FIBRAS PERUANAS -  VALLE DE PISCO LTDA.,ICA,PISCO
appav.chincha@gmail.com,COOPERATIVA AGROINDUSTRIAL CHINCHA LTDA.,ICA,CHINCHA
coopgerchin@gmail.com,COOPERATIVA AGRARIA GUERCHIN,ICA,CHINCHA
cacpangoa@cacpangoa.com,COOPERATIVA AGRARIA CAFETALERA PANGOA LTDA.,JUNIN,SATIPO
casvalledelcunas@yahoo.es,COOPERATIVA AGROPECUARIA DE SERVICIOS VALLE DEL CUNAS LTDA.,JUNIN,CONCEPCION
tintocafeepicafe@gmail.com,COOPERATIVA AGRARIA CAFETALERA VALLE INCARIADO,JUNIN,CHANCHAMAYO
cacealtopalomar@gmail.com,COOPERATIVA AGRARIA CAFETALERA ECOLOGICO ALTO PALOMAR,JUNIN,CHANCHAMAYO
coopchebi@terra.com.pe,COOPERATIVA AGRARIA DE SERVICIOS CAFE HEMALU DE LOS BOSQUES DEL INKA,JUNIN,CHANCHAMAYO
cafesanchirio@hotmail.com,COOPERATIVA AGRARIA DE FRUTOS ECOLOGICOS SANCHIRIO PALOMAR,JUNIN,CHANCHAMAYO
cac.shankivironi@gmail.com,COOPERATIVA AGRARIA CAFETALERA SHANKIVIRONI,JUNIN,CHANCHAMAYO
cooperativa-caise@hotmail.com,COOPERATIVA AGROPECUARIA INDUSTRIAL SELVA ECOLÓGICA,JUNIN,CHANCHAMAYO
cooperativaagroecologica@gmail.com,COOPERATIVA AGROECOLOGICA EL CAFECITO - PICHANAQUI,JUNIN,CHANCHAMAYO
cac.campocafe@gmail.com,COOPERATIVA AGRARIA CAFETALERA CAMPO CAFE,JUNIN,CHANCHAMAYO
cacselvalt@hotmail.com,COOPERATIVA AGRARIA CAFETALERA SELVA ALTA,JUNIN,CHANCHAMAYO
cac-kuviriani@hotmail.com,COOPERATIVA AGRARIA CAFETALERA VALLE KUVIRIANI,JUNIN,CHANCHAMAYO
coopavre2010@gmail.com,COOPERATIVA AGRARIA ECOLOGICA CACAOTERA VALLE RIO ENE - COOPAVRE,JUNIN,SATIPO
cooperativamamarosa@gmail.com,COOPERATIVA DE SERVICIOS AGRARIOS DE PEQUEÑOS PRODUCTORES DE JENGIBRE Y CÚRCUMA ORGÁNICOS SATIPO MAMA ROSA,JUNIN,SATIPO
cace_vallesantacruz@hotmail.com,COOPERATIVA AGROPECUARIA CAFETALERA ECOLOGICA VALLE SANTA CRUZ - RIO TAMBO LTDA,JUNIN,SATIPO
coopbesacari.peru@gmail.com,COOP BESACARI - PERU,JUNIN,SATIPO
sangarenicoop@gmail.com,COOPERATIVA AGRARIA SANGARENI,JUNIN,SATIPO
caisonomoro1@hotmail.com,COOPERATIVA AGROINDUSTRIAL SONOMORO LTDA,JUNIN,SATIPO
cooagropangoa@gmail.com,COOPERATIVA AGROECOLOGICA GRANOS DE ORO DEL VALLE DE PANGO,JUNIN,SATIPO
ruthbuendiarioene@gmail.com,COOPERATIVA AGRARIA DE PRODUCTORES ASHANINKAS KEMITO-ENE LTDA,JUNIN,SATIPO
coopdejovenes@gmail.com,COOPERATIVA AGROINDUSTRIAL DE JOVENES LTDA.,JUNIN,SATIPO
coop.ecovrae@gmail.com,COOPERATIVA AGROECOLOGICO CAFÉ  CACAO DE ORIGEN D,JUNIN,SATIPO
coopvallekiatari@gmail.com,COOPERATIVA AGROINDUSTRIAL Y DE SERVICIOS MULTIPLES VALLE KIATARI-PANGOA LTDA.,JUNIN,SATIPO
gerencia.caclaflorida@gmail.com,COOPERATIVA AGRARIA CAFETALERA LA FLORIDA,JUNIN,CHANCHAMAYO
exportcoffee_capego@hotmail.com,COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES ECOLOGICOS GRANO DE ORO,JUNIN,CHANCHAMAYO
campcpki@gmail.com,COOPERATIVA AGRARIA DE MUJERES PRODUCTORAS DE CAFE - PICHANAKI,JUNIN,CHANCHAMAYO
coop.mareriaki_peru@hotmail.com,COOPERATIVA AGRARIA ANTARO MARERIAKI - PERU,JUNIN,CHANCHAMAYO
cooperativa@ubiriki.com.pe,COOPERATIVA AGRARIA CAFETALERA SOSTENIBLE VALLE UBIRIKI,JUNIN,CHANCHAMAYO
caecos-sc@hotmail.com,COOPERATIVA AGROECOLOGICA DE CAFE DE ORIGEN SELVA CENTRAL,JUNIN,CHANCHAMAYO
coopalrionegro@gmail.com,COOPERATIVA AGRARIA CAFETALERA CAFE Y CACAO RIO NEGRO LTDA.,JUNIN,SATIPO
caicc.riotambo.vraem@gmail.com,COOPERATIVA AGRARIA INTERCULTURAL CAFE Y CACAO DE RIO TAMBO - VRAEM,JUNIN,SATIPO
cacrionegro-peru@hotmail.com,COOPERATIVA AGROPECUARIA CAFETALERA RIO NEGRO,JUNIN,SATIPO
carlosbaca7@hotmail.com,COOPERATIVA AGRARIA LA FORTALEZA DE VIRU,LA LIBERTAD,VIRU
coopai_lalibertad@hotmail.com,COOPERATIVA AGRARIA INDUSTRIAL LA LIBERTAD,LA LIBERTAD,TRUJILLO
vilma_ag_6@hotmail.com,COOPERATIVA DE PRODUCTORES AGRICOPECUARIOS OTUZCO ANDINO,LA LIBERTAD,OTUZCO
coopecomarka@gmail.com,COOPERATIVA AGRARIA ECOLOGICA MARKAHUAMACHUCO,LA LIBERTAD,SANCHEZ CARRION
coopgranoandino@gmail.com,COOPERATIVA AGROECOLOGICA GRANO ANDINO DISTRITO DE SARTIMBAMBA COOP GRANO ANDINO,LA LIBERTAD,SANCHEZ CARRION
jnunezyepez@gmail.com,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES VALLE PRODUCTIVO - COOPEVALLE,LA LIBERTAD,CHEPEN
caulafortaleza@hotmail.com,COOPERATIVA AGRARIA DE USUARIOS LA FORTALEZA LTDA.,LIMA,CAÑETE
agrafer67@hotmail.com,LA COOPERATIVA AGRARIA PYRKAS,LIMA,CAÑETE
coopaselma.12@hotmail.com,COOPERATIVA AGRARIA  SELVA MAGICA DE MARISCAL RAMON CASTILLA LTDA.,LORETO,MARISCAL RAMON CASTILLA
coopaidi@gmail.com,COOPERATIVA AGROINDUSTRIAL DE LA INTER OCEANICA LTDA.,MADRE DE DIOS,TAMBOPATA
cooperativagrobosque@gmail.com,COOPERATIVA AGROBOSQUE,MADRE DE DIOS,TAMBOPATA
apasc.sancore@gmail.com,COOPERATIVA AGRARIA INDUSTRIAL APASC SANCORE-PALCAZU LTDA.,PASCO,OXAPAMPA
cepro-yanesha@hotmail.com,COOPERATIVA AGRARIA CAFETALERA CEPRO YANESHA,PASCO,OXAPAMPA
coopnorandino@coopnorandino.com.pe,COOPERATIVA AGRARIA NORANDINO LTDA..- COOP. NORANDINO,PIURA,PIURA
coopbatanespiuralavieja@hotmail.com,COOPERATIVA AGRARIA DE PRODUCTORES DE BANANO ORGANICO PIURA LA VIEJA- BATANES,PIURA,MORROPON
asociacion_sv_pr@hotmail.com,COOPERATIVA AGRARIA DE BANANEROS ORGANICOS SEÑOR DE CHOCAN DE SAN VICENTE DE PIEDRA RODADA,PIURA,SULLANA
appbosa@yahoo.com,COOPERATIVA AGRARIA APPBOSA,PIURA,SULLANA
apbosman_2007@yahoo.es,COOPERATIVA AGRARIA APBOSMAM,PIURA,SULLANA
capebosan.peru@gmail.com,CAPEBOSAN - JIBITO,PIURA,SULLANA
costachltda@hotmail.com,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TALLAN CHUSIS LTDA. - COSTACH LTDA.,PIURA,PIURA
gedues@yahoo.es,COOPERATIVA AGRARIA QHAPAQ QOLLA-PUNO,PUNO,PUNO
coopainkat_capachica@yahoo.es,COOPERATIVA AGRARIA E INDUSTRIAL KAPAC TIKA-CAPACHICA LTDA.,PUNO,PUNO
maikumarka@gmail.com,COOPERATIVA AGRARIA MAIKU MARKA-ACORA,PUNO,PUNO
raulinbo_v15@hotmail.com,COOPAIL JULI LTDA.,PUNO,CHUCUITO
caisangaban@gmail.com,COOPERATIVA AGRARIA SAN GABAN LIMITADA,PUNO,CARABAYA
mateoq16@hotmail.com,COOPERATIVA AGRARIA CAFETALERA SAN JUAN DEL ORO LTDA.,PUNO,SANDIA
monteazulcoop@yahoo.com,COOPERATIVA AGRARIA MONTE AZUL - MONTE AZUL COOP,SAN MARTIN,SAN MARTIN
cooperativaagraria@aproeco.com,COOPERATIVA AGRARIA APROECO,SAN MARTIN,MOYOBAMBA
cacaltomayoger@gmail.com,COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,SAN MARTIN,MOYOBAMBA
cacfevam@hotmail.com,COOPERATIVA AGRARIA CAFETALERA FE Y ESPERANZA VALLE DEL ALTO MAYO LTDA.,SAN MARTIN,MOYOBAMBA
doncel_coffee@yahoo.es,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CAFE DONCEL,SAN MARTIN,MOYOBAMBA
copagro.nc@gmail.com,COOPERATIVA AGROECOLOGICA ÑUCÑU COFFEE - COPAGRO ÑUCÑU COFFEE,SAN MARTIN,RIOJA
cauuchiza@gmail.com,COOPERATIVA AGROINDUSTRIAL UCHIZA LTDA.,SAN MARTIN,TOCACHE
eduedu22@hotmail.com,COOPERATIVA AGRARIA INDUSTRIAL PROGRESO LTDA.,SAN MARTIN,TOCACHE
coopcordilleraazul@hotmail.com,COOPERATIVA AGROINDUSTRIAL CORDILLERA AZUL NUEVO PROGRESO LTDA.,SAN MARTIN,TOCACHE
adm.cacaodearoma@gmail.com,COOPERATIVA AGRARIA CENTRAL DE CACAO AROMA DE TOCA,SAN MARTIN,TOCACHE
asprocnbt@yahoo.es,COOPERATIVA AGROINDUSTRIAL ASPROC - NBT LTDA,SAN MARTIN,TOCACHE
allimacacao@gmail.com,COOPERATIVA AGRARIA ALLIMA CACAO LTDA.,SAN MARTIN,SAN MARTIN
cooperativacaynarachi@zoho.com,COOPERATIVA AGROINDUSTRIAL CAUCHERA CAYNARACHI LTDA.,SAN MARTIN,LAMAS
gerencia.apropal@gmail.com,COOPERATIVA AGROINDUSTRIAL DEL PALMITO APROPAL LTDA.,SAN MARTIN,LAMAS
copana.barranquita@gmail.com,COOPERATIVA AGRARIA NUEVO AMANECER LTDA.,SAN MARTIN,LAMAS
ca.mushukruna@gmail.com,COOPERATIVA AGRARIA MUSHUK RUNA LTDA.,SAN MARTIN,EL DORADO
cooperativadeldorado@hotmail.com,COOPERATIVA DE APICULTORES DE LA PROVINCIA DEL DORADO LTDA.,SAN MARTIN,EL DORADO
copaserva@hotmail.com,COOPERATIVA AGRARIA Y DE SERVICIOS BALSAYACU LTDA.,SAN MARTIN,MARISCAL CACERES
warmitech@hotmail.com,COOPERATIVA AGRARIA DE SERVICIOS MUJERES TECNOLOGAS CACAOTERAS DE LA PROVINCIA DE HUALLAGA LTDA.,SAN MARTIN,HUALLAGA
coopalgsa@gmail.com,COOPERATIVA AGRARIA EL GRAN SAPOSOA LTDA.,SAN MARTIN,HUALLAGA
coopbajobiavo@live.com,COOPERATIVA AGRARIA DEL BAJO BIAVO LTDA.,SAN MARTIN,BELLAVISTA
acopagro@acopagro.com.pe,COOPERATIVA AGRARIA CACAOTERA ACOPAGRO,SAN MARTIN,MARISCAL CACERES
cooperativaalhua@gmail.com,COOPERATIVA AGRARIA CACAOTERA ALTO HUAYABAMBA LTDA.,SAN MARTIN,MARISCAL CACERES
asociacion.apahui@hotmail.com,COOPERATIVA AGRARIA APAHUI LTDA. - COOP APAHUI LTDA.,SAN MARTIN,MARISCAL CACERES
cpcacaotocache@hotmail.com,COOPERATIVA AGROINDUSTRIAL CPCACAO TOCACHE LTDA,SAN MARTIN,TOCACHE
cactocache@hotmail.com,COOPERATIVA AGRARIA CAFETALERA TOCACHE LTDA.,SAN MARTIN,TOCACHE
oroverde@oroverde.com.pe,COOPERATIVA AGRARIA CAFETALERA Y DE SERVICIOS ORO VERDE LTDA.,SAN MARTIN,LAMAS
huallpa_t@hotmail.com,COOPERATIVA DE PRODUCCION Y SERVICIOS AGROPECUARIOS VIRGEN DE LAS PEÑAS LTDA. - COVIRPE LTDA.,TACNA,TACNA
cooperativasanpedro1@hotmail.com,COOPERATIVA AGRARIA SAN PEDRO DE LOS INC AS LTDA.,TUMBES,TUMBES
coopacatpa@gmail.com,COOPERATIVA AGRARIA DE CACAOTEROS TECNIFICADOS DE PADRE ABAD,UCAYALI,PADRE ABAD
caimaru2016@gmail.com,COOPERATIVA AGRARIA INDUSTRIAL MONTE ALEGRE - REGION UCAYALI (CAIMARU),UCAYALI,PADRE ABAD
